login_hour,failed_logins,usb_usage,files_accessed,emails_sent,downloads,after_hours,role,risk
20,1,0,190,35,15,0,Employee,0
23,1,0,152,54,2,0,Employee,0
6,3,0,144,25,34,1,Employee,1
14,9,1,2,20,27,1,Manager,1
4,3,1,27,11,24,0,Manager,1
11,9,1,12,58,34,0,Manager,1
2,8,1,161,79,23,0,Admin,1
2,0,0,198,37,5,0,Employee,0
12,4,1,163,46,10,1,Manager,1
6,10,1,180,9,38,0,Admin,1
23,3,0,119,48,17,0,Admin,0
10,0,0,9,40,25,1,Employee,1
6,9,1,55,63,25,1,Employee,1
8,2,0,191,71,34,1,Admin,1
18,6,1,93,28,8,1,Employee,1
1,1,0,161,20,27,0,Manager,1
12,9,1,136,32,35,0,Admin,1
23,1,1,197,43,7,1,Manager,1
5,7,0,185,33,32,0,Admin,1
3,10,1,164,64,38,0,Employee,1
11,2,0,154,41,31,0,Employee,1
11,4,0,15,30,36,0,Employee,1
23,7,0,195,68,8,0,Admin,1
15,8,0,68,67,38,1,Employee,1
17,3,1,103,47,28,1,Employee,1
7,3,0,87,2,37,0,Admin,1
7,0,0,182,80,3,0,Employee,0
1,5,0,132,30,17,1,Employee,1
17,2,1,63,60,26,0,Employee,1
3,10,1,91,54,26,1,Admin,1
1,10,0,16,51,21,0,Employee,1
6,3,1,36,54,11,1,Manager,1
7,1,1,141,12,3,0,Employee,1
7,2,1,125,61,13,1,Employee,1
5,6,0,100,33,29,1,Manager,1
22,8,1,40,24,18,0,Employee,1
18,8,0,192,40,3,0,Admin,1
15,8,0,15,65,5,0,Employee,1
19,1,0,104,15,36,0,Admin,1
19,0,0,108,74,36,1,Manager,1
6,10,1,62,33,25,0,Admin,1
20,4,1,81,9,0,1,Admin,1
18,1,0,138,27,32,1,Employee,1
11,1,0,95,36,10,1,Admin,1
22,4,0,171,70,19,0,Employee,0
8,1,0,191,70,9,1,Manager,1
19,3,1,53,33,32,1,Manager,1
1,1,1,71,5,0,1,Employee,1
20,4,0,190,56,35,1,Admin,1
0,1,0,177,19,34,0,Manager,1
18,8,0,111,16,2,1,Manager,1
1,5,0,175,31,6,1,Admin,1
13,9,0,61,20,11,1,Employee,1
5,5,1,172,31,17,0,Admin,1
3,6,0,121,28,12,1,Manager,1
9,3,0,7,24,25,1,Manager,1
2,4,1,165,65,25,1,Employee,1
3,4,0,149,33,2,0,Admin,0
13,5,1,112,77,32,0,Manager,1
18,3,1,12,55,0,0,Manager,1
13,1,1,160,40,7,1,Admin,1
9,10,1,84,51,18,0,Employee,1
13,10,1,174,22,39,1,Manager,1
17,0,1,74,26,27,1,Manager,1
14,7,0,131,60,10,0,Manager,1
16,10,1,24,30,19,0,Employee,1
4,0,0,63,60,39,0,Manager,1
13,10,0,184,49,31,1,Employee,1
4,10,0,193,13,27,0,Employee,1
22,8,1,13,71,15,0,Manager,1
4,7,1,194,56,39,1,Admin,1
14,2,1,116,33,15,1,Admin,1
15,10,0,71,56,4,1,Employee,1
8,5,1,139,10,8,0,Employee,1
12,2,0,17,53,26,1,Admin,1
14,6,0,53,53,24,0,Admin,1
12,7,0,91,38,24,1,Admin,1
23,8,0,125,28,17,1,Manager,1
0,6,1,172,51,10,1,Employee,1
19,8,0,101,75,36,0,Employee,1
